date,service,cost
2025-08-09,AI,282.8
2025-08-09,Compute,939.02
2025-08-09,Monitoring,142.5
2025-08-09,Networking,203.4
2025-08-09,SQL,613.96
2025-08-09,Storage,423.84
2025-08-10,AI,242.92
2025-08-10,Compute,909.01
2025-08-10,Monitoring,129.91
2025-08-10,Networking,189.48
2025-08-10,SQL,580.05
2025-08-10,Storage,435.37
2025-08-11,AI,354.26
2025-08-11,Compute,1229.93
2025-08-11,Monitoring,178.82
2025-08-11,Networking,244.96
2025-08-11,SQL,752.82
2025-08-11,Storage,548.79
2025-08-12,AI,376.45
2025-08-12,Compute,1282.54
2025-08-12,Monitoring,187.12
2025-08-12,Networking,264.15
2025-08-12,SQL,754.31
2025-08-12,Storage,559.16
2025-08-13,AI,326.69
2025-08-13,Compute,1156.91
2025-08-13,Monitoring,168.72
2025-08-13,Networking,234.64
2025-08-13,SQL,785.13
2025-08-13,Storage,527.87
2025-08-14,AI,311.28000000000003
2025-08-14,Compute,1226.96
2025-08-14,Monitoring,165.24
2025-08-14,Networking,235.59
2025-08-14,SQL,807.64
2025-08-14,Storage,539.1800000000001
2025-08-15,AI,309.54
2025-08-15,Compute,1117.1
2025-08-15,Monitoring,167.76
2025-08-15,Networking,233.29000000000002
2025-08-15,SQL,780.19
2025-08-15,Storage,532.74
2025-08-16,AI,232.29
2025-08-16,Compute,864.21
2025-08-16,Monitoring,125.30000000000001
2025-08-16,Networking,165.2
2025-08-16,SQL,549.61
2025-08-16,Storage,396.48
2025-08-17,AI,254.3
2025-08-17,Compute,825.4300000000001
2025-08-17,Monitoring,126.6
2025-08-17,Networking,183.49
2025-08-17,SQL,574.05
2025-08-17,Storage,403.07
2025-08-18,AI,337.78
2025-08-18,Compute,1180.44
2025-08-18,Monitoring,172.10999999999999
2025-08-18,Networking,242.23999999999998
2025-08-18,SQL,807.45
2025-08-18,Storage,557.0
2025-08-19,AI,350.75
2025-08-19,Compute,1300.16
2025-08-19,Monitoring,175.05
2025-08-19,Networking,248.39
2025-08-19,SQL,849.26
2025-08-19,Storage,559.65
2025-08-20,AI,345.4
2025-08-20,Compute,1200.05
2025-08-20,Monitoring,172.56
2025-08-20,Networking,243.49
2025-08-20,SQL,779.75
2025-08-20,Storage,549.81
2025-08-21,AI,346.73
2025-08-21,Compute,1196.56
2025-08-21,Monitoring,174.05
2025-08-21,Networking,245.1
2025-08-21,SQL,752.05
2025-08-21,Storage,549.39
2025-08-22,AI,374.42
2025-08-22,Compute,1248.29
2025-08-22,Monitoring,194.24
2025-08-22,Networking,265.19
2025-08-22,SQL,846.5799999999999
2025-08-22,Storage,579.38
2025-08-23,AI,262.98
2025-08-23,Compute,942.13
2025-08-23,Monitoring,145.75
2025-08-23,Networking,207.93
2025-08-23,SQL,614.39
2025-08-23,Storage,433.13
2025-08-24,AI,280.99
2025-08-24,Compute,956.8100000000001
2025-08-24,Monitoring,141.92000000000002
2025-08-24,Networking,192.41
2025-08-24,SQL,617.14
2025-08-24,Storage,410.73
2025-08-25,AI,387.51
2025-08-25,Compute,1396.53
2025-08-25,Monitoring,202.25
2025-08-25,Networking,292.31
2025-08-25,SQL,928.86
2025-08-25,Storage,639.8100000000001
2025-08-26,AI,351.64
2025-08-26,Compute,1259.3700000000001
2025-08-26,Monitoring,193.82
2025-08-26,Networking,263.14
2025-08-26,SQL,874.1700000000001
2025-08-26,Storage,601.96
2025-08-27,AI,415.03000000000003
2025-08-27,Compute,1384.0
2025-08-27,Monitoring,203.53
2025-08-27,Networking,289.44
2025-08-27,SQL,921.43
2025-08-27,Storage,627.52
2025-08-28,AI,402.98
2025-08-28,Compute,1320.72
2025-08-28,Monitoring,200.26
2025-08-28,Networking,282.01
2025-08-28,SQL,910.02
2025-08-28,Storage,624.02
2025-08-29,AI,407.28
2025-08-29,Compute,1311.76
2025-08-29,Monitoring,205.9
2025-08-29,Networking,285.96999999999997
2025-08-29,SQL,903.88
2025-08-29,Storage,623.87
2025-08-30,AI,313.11
2025-08-30,Compute,1017.1
2025-08-30,Monitoring,154.8
2025-08-30,Networking,222.71
2025-08-30,SQL,665.99
2025-08-30,Storage,477.49
2025-08-31,AI,299.48
2025-08-31,Compute,991.3
2025-08-31,Monitoring,156.26
2025-08-31,Networking,223.38
2025-08-31,SQL,691.05
2025-08-31,Storage,493.39
2025-09-01,AI,343.06
2025-09-01,Compute,1253.77
2025-09-01,Monitoring,186.42000000000002
2025-09-01,Networking,262.47
2025-09-01,SQL,835.85
2025-09-01,Storage,575.31
2025-09-02,AI,331.39
2025-09-02,Compute,1653.5141720867312
2025-09-02,Monitoring,179.54
2025-09-02,Networking,325.26019618066414
2025-09-02,SQL,1062.5522081092927
2025-09-02,Storage,540.87
2025-09-03,AI,351.95
2025-09-03,Compute,1316.7329133300545
2025-09-03,Monitoring,184.1
2025-09-03,Networking,284.3761664568305
2025-09-03,SQL,893.1405120011601
2025-09-03,Storage,567.83
2025-09-04,AI,349.27
2025-09-04,Compute,1220.29
2025-09-04,Monitoring,182.41
2025-09-04,Networking,253.01
2025-09-04,SQL,800.87
2025-09-04,Storage,547.76
2025-09-05,AI,354.28
2025-09-05,Compute,1208.6599999999999
2025-09-05,Monitoring,185.97
2025-09-05,Networking,249.44
2025-09-05,SQL,763.34
2025-09-05,Storage,572.48
2025-09-06,AI,303.18
2025-09-06,Compute,945.5799999999999
2025-09-06,Monitoring,135.0
2025-09-06,Networking,201.51000000000002
2025-09-06,SQL,647.06
2025-09-06,Storage,455.32
2025-09-07,AI,258.61
2025-09-07,Compute,902.09
