date,subscription,resource_group,service,cost
2025-08-09,sub-prod,rg-core,Compute,153.03
2025-08-09,sub-prod,rg-core,Storage,70.78
2025-08-09,sub-prod,rg-core,SQL,92.18
2025-08-09,sub-prod,rg-core,Networking,30.88
2025-08-09,sub-prod,rg-core,AI,50.81
2025-08-09,sub-prod,rg-core,Monitoring,21.56
2025-08-09,sub-prod,rg-analytics,Compute,123.63
2025-08-09,sub-prod,rg-analytics,Storage,57.87
2025-08-09,sub-prod,rg-analytics,SQL,80.87
2025-08-09,sub-prod,rg-analytics,Networking,27.36
2025-08-09,sub-prod,rg-analytics,AI,39.76
2025-08-09,sub-prod,rg-analytics,Monitoring,19.17
2025-08-09,sub-prod,rg-ml,Compute,147.93
2025-08-09,sub-prod,rg-ml,Storage,54.44
2025-08-09,sub-prod,rg-ml,SQL,67.18
2025-08-09,sub-prod,rg-ml,Networking,27.52
2025-08-09,sub-prod,rg-ml,AI,32.97
2025-08-09,sub-prod,rg-ml,Monitoring,18.2
2025-08-09,sub-prod,rg-web,Compute,90.53
2025-08-09,sub-prod,rg-web,Storage,46.86
2025-08-09,sub-prod,rg-web,SQL,62.92
2025-08-09,sub-prod,rg-web,Networking,21.78
2025-08-09,sub-prod,rg-web,AI,34.36
2025-08-09,sub-prod,rg-web,Monitoring,17.11
2025-08-09,sub-prod,rg-data,Compute,114.6
2025-08-09,sub-prod,rg-data,Storage,53.94
2025-08-09,sub-prod,rg-data,SQL,88.05
2025-08-09,sub-prod,rg-data,Networking,26.82
2025-08-09,sub-prod,rg-data,AI,40.85
2025-08-09,sub-prod,rg-data,Monitoring,20.58
2025-08-09,sub-dev,rg-core,Compute,85.25
2025-08-09,sub-dev,rg-core,Storage,35.52
2025-08-09,sub-dev,rg-core,SQL,54.15
2025-08-09,sub-dev,rg-core,Networking,14.88
2025-08-09,sub-dev,rg-core,AI,21.46
2025-08-09,sub-dev,rg-core,Monitoring,11.68
2025-08-09,sub-dev,rg-analytics,Compute,60.01
2025-08-09,sub-dev,rg-analytics,Storage,31.1
2025-08-09,sub-dev,rg-analytics,SQL,41.45
2025-08-09,sub-dev,rg-analytics,Networking,13.37
2025-08-09,sub-dev,rg-analytics,AI,23.06
